EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_eval_rewards,forward_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,6.785022497177124,8400,-0.05992,-122.46183,-0.24503,3.46174,3.31565,0.00096,0.06523,-0.18507,-0.22022,0.02083,-0.16447,-0.28624,0.97043,0.01682,0.99970,0.94174,0.97043,0.01682,0.99970,0.94174,-0.30169,0.17503,-0.00000,-0.60374,-7.82758,1.06438,-4.00133,-9.71250,1.72727,3.13033,14.94657,0.54400,1.77797,3.11655,14.92567,0.54999,0.33994,0.16040,1.40344,0.14789,17.05510,32.73099,192.40381,0.69980,19.86974,38.67446,230.01289,0.54349,-0.12940,0.02044,0.00076,-0.18346,0.00751,0.00227,0.01317,0.00287,-0.11481,0.01953,0.00894,-0.16986,-0.14395,0.02275,-0.00783,-0.20598,-4.09962,0.01549,-3.98212,-4.12933,-4.09888,0.01509,-4.00617,-4.13487,-4.09925,0.01317,-4.00132,-4.12814,0.29758,0.03304,0.54543,0.24151,-3.29491,0.16542,-2.06498,-3.59250,-6.49174,0.62887,-5.17038,-8.84940,-0.00453,0.00506,0.01154,-0.01286,0.01337,0.00417,0.02154,0.00308,0.01793,0.00925,0.03826,0.00016,-0.02579,0.00926,0.00615,-0.04643
1,2.56907320022583,8800,0.06664,-83.94610,-0.53371,0.36340,2.19679,0.00099,0.75924,-0.37283,-0.21089,0.02058,-0.16350,-0.27642,0.91390,0.01583,0.94146,0.88689,0.91391,0.01583,0.94146,0.88690,-0.90774,0.17494,-0.60612,-1.21030,-9.58237,0.59052,-8.54126,-10.67653,0.58272,0.03506,0.71066,0.48407,0.57152,0.02665,0.66809,0.49779,0.22999,0.04732,0.40376,0.11061,8.37058,4.01961,19.58362,1.31870,6.73752,3.59223,18.99216,1.10208,-0.12906,0.00568,-0.10982,-0.14406,0.00821,0.00203,0.01625,0.00554,-0.11153,0.00600,-0.09844,-0.13177,-0.15579,0.01182,-0.12926,-0.20490,-4.10029,0.01072,-4.07393,-4.12903,-4.09923,0.01145,-4.07058,-4.13709,-4.09976,0.00782,-4.07765,-4.12206,0.29677,0.01495,0.34779,0.26581,-3.29710,0.07572,-3.08045,-3.48188,-6.61046,0.75409,-5.31326,-10.04061,-0.00462,0.00549,0.00766,-0.01572,0.01808,0.00387,0.02661,0.01161,0.03753,0.01259,0.07989,0.01601,-0.05881,0.02106,-0.02316,-0.09970
2,2.54106068611145,9200,0.03302,-55.28351,-0.74321,0.00154,2.53851,0.00096,0.28161,-0.35005,-0.20784,0.01985,-0.15319,-0.25008,0.86068,0.01491,0.88663,0.83525,0.86068,0.01491,0.88663,0.83525,-1.51373,0.17485,-1.21317,-1.81497,-11.65421,0.62752,-10.56912,-12.80236,0.54777,0.03006,0.66053,0.48850,0.55135,0.02950,0.65197,0.48273,0.20712,0.03671,0.32999,0.11749,9.14795,4.71466,27.10339,1.54358,9.59369,5.86865,29.19993,2.22920,-0.12773,0.00736,-0.10758,-0.14192,0.00750,0.00166,0.01134,0.00333,-0.11035,0.00800,-0.09164,-0.12744,-0.15507,0.01080,-0.13172,-0.18856,-4.09966,0.01208,-4.06820,-4.13091,-4.09978,0.01229,-4.06694,-4.13273,-4.09972,0.00803,-4.07112,-4.11684,0.30168,0.01455,0.34020,0.27189,-3.25182,0.08617,-2.95290,-3.44314,-6.66298,0.79321,-5.52719,-9.43991,-0.00684,0.00613,0.00692,-0.01935,0.02283,0.00226,0.02868,0.01737,0.05149,0.01445,0.09799,0.02561,-0.10265,0.01651,-0.07099,-0.14395
3,6.965196371078491,9600,-0.07879,-38.48848,-0.13910,0.00144,2.12816,4.83555,-0.58716,-0.24127,-0.21812,0.01869,-0.17415,-0.27072,0.81057,0.01403,0.83500,0.78662,0.81056,0.01404,0.83500,0.78661,-2.11936,0.17473,-1.81578,-2.41964,-13.81869,0.62363,-12.64434,-15.02252,0.51634,0.03047,0.69932,0.45467,0.52445,0.02603,0.62171,0.47429,0.18641,0.03381,0.29112,0.10621,11.60052,4.85733,39.98119,1.96542,12.16776,4.25763,24.18238,3.40660,-0.12884,0.00649,-0.11443,-0.14334,0.00770,0.00127,0.01073,0.00469,-0.10794,0.00654,-0.09659,-0.12729,-0.15659,0.01053,-0.13100,-0.17863,-4.09678,0.01164,-4.06648,-4.13198,-4.09965,0.01198,-4.07138,-4.13489,-4.09821,0.00852,-4.07644,-4.12050,0.30420,0.01676,0.35556,0.26857,-3.23843,0.11027,-2.73009,-3.47265,-6.62652,0.75507,-5.54536,-10.05891,-0.00648,0.00769,0.00959,-0.02614,0.02658,0.00416,0.03622,0.01999,0.07645,0.02231,0.15123,0.03601,-0.09287,0.01784,-0.06477,-0.13700
4,3.7607531547546387,10000,-0.03350,-200.58703,-0.06633,0.00157,2.49922,1.25992,0.48008,-0.18484,-0.21976,0.01884,-0.16667,-0.27525,0.76337,0.01322,0.78638,0.74083,0.76337,0.01322,0.78637,0.74081,-2.72411,0.17419,-2.42510,-3.02809,-15.86514,0.57930,-14.79323,-17.13306,0.50269,0.02605,0.57499,0.44671,0.55763,0.06376,0.76287,0.46402,0.17497,0.03002,0.26540,0.09254,16.33816,5.41718,31.42289,6.04104,25.46031,13.16140,60.77661,5.87911,-0.13140,0.00532,-0.12043,-0.14331,0.00810,0.00122,0.01122,0.00606,-0.10800,0.00592,-0.09331,-0.11948,-0.16866,0.01298,-0.14358,-0.20836,-4.09460,0.01237,-4.06509,-4.13293,-4.09453,0.01263,-4.05512,-4.12460,-4.09457,0.00857,-4.06862,-4.11470,0.31186,0.01493,0.38086,0.27739,-3.15886,0.09658,-2.80475,-3.34875,-6.57919,0.68105,-5.31824,-8.69076,-0.00221,0.00802,0.01542,-0.01985,0.04084,0.00442,0.05193,0.02739,0.12386,0.02064,0.17822,0.08181,-0.16072,0.02908,-0.11411,-0.25131
5,5.4708850383758545,10400,-0.03782,-51.24832,0.51825,0.04183,2.31233,3.11667,0.71914,-0.88210,-0.22158,0.02191,-0.14584,-0.27592,0.71894,0.01244,0.74060,0.69771,0.71893,0.01244,0.74059,0.69770,-3.32829,0.17446,-3.03127,-3.63007,-17.79955,0.58795,-16.62299,-19.00793,0.50030,0.03251,0.61116,0.42504,0.60882,0.07810,0.85352,0.46466,0.17093,0.02963,0.25621,0.10854,22.09032,8.07095,45.59549,8.10721,39.64576,14.45999,78.88729,5.94069,-0.13386,0.00462,-0.12074,-0.14292,0.00996,0.00159,0.01499,0.00667,-0.10521,0.00852,-0.08152,-0.12176,-0.17976,0.01221,-0.15705,-0.21372,-4.09054,0.01252,-4.05887,-4.12134,-4.09131,0.01181,-4.06275,-4.11894,-4.09092,0.00824,-4.07103,-4.11217,0.32521,0.01632,0.38110,0.28946,-3.10049,0.10651,-2.79323,-3.31471,-6.60555,0.72261,-5.53664,-10.00018,0.00031,0.00824,0.01942,-0.01592,0.05179,0.00388,0.06047,0.04039,0.14931,0.02007,0.22092,0.11964,-0.23988,0.04016,-0.14614,-0.35191
6,4.338369607925415,10800,-0.27698,-145.40586,-0.33081,0.00159,2.58770,1.74904,-0.90181,-1.10338,-0.22459,0.02051,-0.16541,-0.27257,0.67711,0.01172,0.69750,0.65711,0.67709,0.01171,0.69749,0.65710,-3.93078,0.17383,-3.62969,-4.22665,-19.61749,0.59695,-18.53332,-20.95724,0.60333,0.09231,0.89466,0.42796,0.63693,0.08582,0.87569,0.47263,0.16442,0.02396,0.23774,0.10408,47.19304,15.69322,84.95063,6.74915,47.76192,16.10093,79.69891,7.79516,-0.13584,0.00559,-0.12339,-0.14952,0.01155,0.00157,0.01573,0.00789,-0.10198,0.00571,-0.08361,-0.11605,-0.18026,0.01168,-0.15475,-0.20973,-4.08405,0.01334,-4.04865,-4.12486,-4.08501,0.01447,-4.04877,-4.12971,-4.08453,0.00951,-4.06135,-4.11607,0.33852,0.01512,0.38277,0.30095,-3.01776,0.11305,-2.53071,-3.30180,-6.59986,0.60151,-5.52817,-8.84227,0.00223,0.00911,0.01916,-0.01675,0.06278,0.00392,0.07214,0.05546,0.19066,0.02170,0.25321,0.14349,-0.27586,0.04248,-0.19146,-0.40263
7,5.133984327316284,11200,-0.50403,-95.63435,-0.57967,0.00158,2.85288,2.27947,-1.03480,-1.30415,-0.21523,0.02119,-0.15354,-0.26484,0.63772,0.01103,0.65692,0.61890,0.63771,0.01103,0.65691,0.61889,-4.53129,0.17357,-4.23107,-4.83213,-21.24382,0.51099,-20.15824,-22.52903,0.62445,0.10212,0.91782,0.45630,0.65510,0.09842,1.00173,0.47887,0.17315,0.02402,0.26068,0.11676,54.79823,17.17478,93.46374,18.99145,54.65368,18.87341,102.00657,12.73444,-0.14017,0.00569,-0.12849,-0.15171,0.01418,0.00226,0.01946,0.00961,-0.09777,0.00736,-0.08005,-0.11536,-0.19058,0.01277,-0.16566,-0.23884,-4.07539,0.01614,-4.02514,-4.11072,-4.07669,0.01546,-4.02173,-4.11964,-4.07604,0.01099,-4.04361,-4.10003,0.36260,0.01585,0.41432,0.31647,-2.89238,0.15138,-2.30406,-3.25483,-6.73124,0.66278,-5.54662,-9.51477,0.00032,0.00911,0.02548,-0.02213,0.07769,0.00373,0.08612,0.06954,0.23501,0.02319,0.29361,0.18684,-0.32256,0.03655,-0.22718,-0.42232
8,4.564886808395386,11600,-0.79064,-30.84510,-0.74034,0.00160,2.55058,2.01266,-1.73497,-1.95960,-0.22193,0.01948,-0.16539,-0.27361,0.60065,0.01038,0.61872,0.58293,0.60063,0.01038,0.61871,0.58291,-5.13021,0.17271,-4.82333,-5.43429,-22.73771,0.49298,-21.83658,-23.97911,0.65218,0.11212,0.94868,0.47479,0.67552,0.10241,0.91729,0.50760,0.17767,0.02828,0.27412,0.12635,61.17335,19.50623,105.85269,21.50304,62.09629,19.54838,104.06754,19.14223,-0.14069,0.00560,-0.12461,-0.15202,0.01521,0.00227,0.01965,0.01028,-0.09767,0.00542,-0.08420,-0.10953,-0.20295,0.01004,-0.18094,-0.23377,-4.06530,0.01557,-4.02234,-4.10842,-4.06871,0.01699,-4.02396,-4.12233,-4.06701,0.01137,-4.03835,-4.09174,0.38612,0.01636,0.44941,0.34396,-2.75934,0.17030,-1.93055,-3.05952,-6.68815,0.71819,-5.49322,-9.65312,-0.00058,0.01143,0.02746,-0.03610,0.09133,0.00463,0.10558,0.08296,0.27980,0.02688,0.36502,0.21752,-0.34093,0.03762,-0.26256,-0.42228
9,5.4640538692474365,12000,-1.22201,-129.04738,-0.30248,0.00160,2.46273,2.99965,-1.50416,-2.51426,-0.22095,0.01877,-0.17984,-0.27080,0.56574,0.00977,0.58276,0.54907,0.56573,0.00977,0.58274,0.54905,-5.72704,0.17213,-5.43352,-6.02823,-24.17854,0.47412,-23.25880,-25.40066,0.66596,0.11415,0.95683,0.48152,0.69283,0.11174,1.00691,0.51281,0.18277,0.02720,0.27505,0.12473,67.27645,20.43844,113.09543,27.58643,69.32845,21.52205,118.75738,21.52321,-0.14395,0.00403,-0.13439,-0.15382,0.01982,0.00201,0.02586,0.01702,-0.09162,0.00535,-0.07540,-0.10255,-0.23653,0.01506,-0.19630,-0.27539,-4.05653,0.01594,-4.01225,-4.12169,-4.05686,0.01722,-4.01352,-4.09688,-4.05670,0.01215,-4.02971,-4.08588,0.41226,0.01530,0.45370,0.37499,-2.65818,0.15086,-2.21575,-2.93981,-6.77138,0.78598,-5.43378,-11.25073,-0.00153,0.00937,0.01985,-0.02348,0.10450,0.00422,0.11509,0.09621,0.32651,0.02756,0.43669,0.26367,-0.36991,0.03345,-0.29548,-0.45130
