EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,forward_10_eval_rewards,forward_5_eval_rewards,forward_6_eval_rewards,forward_7_eval_rewards,forward_8_eval_rewards,forward_9_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,alpha_4_Mean,alpha_4_Std,alpha_4_Max,alpha_4_Min,alpha_5_Mean,alpha_5_Std,alpha_5_Max,alpha_5_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_prob_4_Mean,log_prob_4_Std,log_prob_4_Max,log_prob_4_Min,log_prob_5_Mean,log_prob_5_Std,log_prob_5_Max,log_prob_5_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,228.5678961277008,13200,-7499.93085,-9301.59363,-10.55925,58.01535,17.00088,153.39854,-9999.67308,-4999.59932,-6000.57104,-7000.15176,-7999.64566,-8999.94426,-7.78739,0.01621,-7.73769,-7.83771,0.97047,0.01678,0.99970,0.94182,0.97046,0.01679,0.99970,0.94181,0.97046,0.01679,0.99970,0.94182,0.97046,0.01679,0.99970,0.94182,0.97047,0.01678,0.99970,0.94183,0.97046,0.01679,0.99970,0.94181,-0.30022,0.17391,-0.00000,-0.59976,0.22653,1.25637,1.60304,-4.02714,2.53385,3.91847,18.26515,0.25791,2.49226,3.89068,18.21754,0.24806,0.31259,0.16978,1.34537,0.13174,13.76063,20.30620,111.66963,1.49711,16.67000,29.71355,181.59818,0.99977,-0.13648,0.01889,-0.00027,-0.18038,0.00748,0.00251,0.01268,0.00148,-0.12478,0.01777,0.00175,-0.17256,-0.15035,0.02155,-0.00422,-0.19107,-4.07399,0.03459,-3.96747,-4.14528,-4.06963,0.03173,-3.97763,-4.14644,-4.07271,0.03244,-3.97023,-4.16385,-4.07079,0.03370,-3.96749,-4.13749,-4.06918,0.03384,-3.96592,-4.15878,-4.07223,0.03030,-3.98113,-4.13776,-4.07142,0.02669,-3.98631,-4.12172,0.37366,0.06385,0.53881,0.27231,-2.97006,0.25297,-1.96301,-3.51683,-6.90428,0.74584,-5.50004,-10.12314,0.03953,0.02578,0.08205,-0.01082,0.06266,0.03505,0.13914,0.00352,0.13890,0.08487,0.31029,0.00548,-0.03916,0.02395,-0.00514,-0.13505
1,476.5779459476471,14400,-7804.24868,-9406.29245,-6.69193,0.02398,9.82287,466.73104,-10007.31480,-5007.19926,-6007.80164,-7006.60265,-8006.88938,-9006.84505,-7.78247,0.01602,-7.73499,-7.82886,0.91402,0.01581,0.94154,0.88705,0.91400,0.01582,0.94153,0.88701,0.91401,0.01581,0.94153,0.88703,0.91404,0.01579,0.94154,0.88709,0.91404,0.01580,0.94155,0.88709,0.91404,0.01579,0.94153,0.88710,-0.90145,0.17302,-0.60362,-1.19792,3.05460,0.92636,4.77712,1.46588,0.28805,0.03167,0.39482,0.22820,0.26005,0.01506,0.30527,0.22469,0.22324,0.04505,0.35808,0.12577,13.71686,8.15968,39.49569,2.22169,8.83377,3.29791,19.90940,3.07910,-0.14976,0.00558,-0.13756,-0.16601,0.00997,0.00381,0.01952,0.00374,-0.13173,0.00639,-0.11297,-0.14595,-0.17727,0.01633,-0.15081,-0.21395,-4.05329,0.02561,-3.98958,-4.11494,-4.05690,0.02327,-3.99422,-4.12662,-4.05451,0.02511,-3.97848,-4.12905,-4.03781,0.02721,-3.97094,-4.09888,-4.04000,0.03043,-3.94945,-4.12596,-4.03256,0.02871,-3.95870,-4.10719,-4.04585,0.01413,-3.99847,-4.07747,0.42962,0.02542,0.49830,0.38288,-2.73582,0.13671,-2.22910,-3.01601,-7.04653,0.70174,-5.77525,-9.56775,0.07332,0.00784,0.09581,0.06040,0.08930,0.00836,0.10944,0.07424,0.24961,0.03642,0.32886,0.18902,-0.09737,0.06690,-0.01332,-0.24611
2,453.7096977233887,15600,-7612.12063,-9221.60257,-10.75986,0.02205,10.01066,443.67693,-10016.67532,-5013.55425,-6015.44947,-7014.06889,-8016.28725,-9017.20935,-7.78532,0.01676,-7.74340,-7.82370,0.86090,0.01487,0.88678,0.83551,0.86086,0.01487,0.88675,0.83550,0.86087,0.01487,0.88677,0.83550,0.86095,0.01487,0.88683,0.83557,0.86093,0.01487,0.88682,0.83555,0.86095,0.01488,0.88684,0.83556,-1.49962,0.17259,-1.19810,-1.79476,6.55675,1.09273,8.58710,4.67585,0.31843,0.04280,0.59252,0.24183,0.29846,0.04340,0.51541,0.23063,0.22603,0.04027,0.35119,0.13103,20.24135,9.69782,69.25132,3.26652,18.52052,10.27045,62.35506,3.52233,-0.16381,0.00687,-0.15022,-0.18112,0.01697,0.00257,0.02313,0.01135,-0.13289,0.00821,-0.11539,-0.15318,-0.21532,0.01596,-0.18257,-0.26888,-4.02980,0.02656,-3.95529,-4.09851,-4.02499,0.02951,-3.93841,-4.09232,-4.03049,0.02774,-3.95322,-4.11173,-4.01610,0.02810,-3.94483,-4.09825,-4.02043,0.02892,-3.95176,-4.11506,-4.01979,0.03142,-3.93890,-4.10565,-4.02360,0.01464,-3.98324,-4.05739,0.47024,0.02293,0.54180,0.41443,-2.59511,0.12307,-2.31558,-2.98913,-7.10677,0.71642,-5.86394,-10.86761,0.07910,0.00699,0.09776,0.06078,0.10928,0.00839,0.13127,0.08736,0.34127,0.03047,0.40134,0.25949,-0.32781,0.07421,-0.19792,-0.49322
3,459.7864935398102,16800,-7616.89636,-9387.89131,-6.01442,0.10845,9.82614,449.85186,-10017.45483,-5017.57061,-6018.47333,-7017.58048,-8018.12205,-9017.28133,-7.78516,0.01608,-7.73663,-7.82683,0.81089,0.01400,0.83526,0.78699,0.81088,0.01400,0.83525,0.78699,0.81087,0.01400,0.83525,0.78697,0.81092,0.01402,0.83532,0.78699,0.81091,0.01402,0.83530,0.78698,0.81089,0.01403,0.83531,0.78694,-2.09794,0.17307,-1.79844,-2.39736,10.52704,1.22051,12.78645,8.36692,0.38041,0.04070,0.52571,0.29834,0.40473,0.09409,0.74883,0.28818,0.22082,0.03744,0.32193,0.13490,26.55647,11.63771,68.43693,6.23033,34.29799,20.43364,99.80013,8.87949,-0.17626,0.00695,-0.15984,-0.18879,0.01656,0.00202,0.02183,0.01205,-0.14007,0.00808,-0.11803,-0.16097,-0.23130,0.01422,-0.20260,-0.26052,-4.01325,0.02826,-3.92671,-4.08505,-4.00764,0.02732,-3.93200,-4.08320,-4.01488,0.02984,-3.93300,-4.11714,-4.01565,0.02782,-3.95127,-4.09020,-4.01562,0.02983,-3.95577,-4.09117,-4.02664,0.02665,-3.94850,-4.08156,-4.01561,0.01356,-3.98030,-4.04850,0.47978,0.02024,0.53079,0.43482,-2.48092,0.16288,-1.81157,-2.78571,-7.12852,0.76962,-5.92672,-11.34014,0.06605,0.00816,0.08407,0.04474,0.12172,0.00644,0.14105,0.10530,0.39373,0.01933,0.43394,0.35087,-0.44662,0.04139,-0.34517,-0.54824
4,469.1491434574127,18000,-7816.29059,-9345.69258,-10.49888,0.09592,9.72636,459.32680,-10014.51844,-5016.85832,-6016.42896,-7015.08557,-8014.93856,-9013.74455,-7.77841,0.01710,-7.73732,-7.82964,0.76378,0.01320,0.78676,0.74125,0.76379,0.01320,0.78675,0.74126,0.76376,0.01321,0.78674,0.74122,0.76375,0.01322,0.78676,0.74117,0.76373,0.01323,0.78675,0.74115,0.76368,0.01323,0.78671,0.74110,-2.69999,0.17395,-2.40126,-3.00038,14.82587,1.28919,17.15670,12.50707,0.48569,0.06058,0.76020,0.36952,0.53733,0.09597,0.95528,0.38820,0.20117,0.03037,0.30690,0.13152,41.46303,15.78990,101.91298,14.85727,47.81098,23.10686,128.16780,13.94356,-0.18649,0.00570,-0.17225,-0.19928,0.01933,0.00236,0.02414,0.01419,-0.14530,0.00845,-0.12297,-0.15845,-0.25299,0.01394,-0.22247,-0.29024,-4.01401,0.02748,-3.93015,-4.07622,-4.00717,0.02713,-3.92442,-4.07474,-4.01929,0.02563,-3.95529,-4.10248,-4.02828,0.02941,-3.94939,-4.11827,-4.03300,0.02584,-3.95437,-4.09382,-4.03788,0.02463,-3.97432,-4.09707,-4.02327,0.01342,-3.98069,-4.06213,0.45300,0.02018,0.50676,0.40410,-2.50526,0.19607,-1.94984,-2.98523,-7.24940,0.75708,-5.85960,-9.97897,0.04923,0.00736,0.06939,0.02940,0.11588,0.00751,0.13478,0.09921,0.39346,0.03199,0.46990,0.31551,-0.47018,0.03921,-0.35980,-0.56079
5,457.52834010124207,19200,-7313.07605,-9214.49663,-4.93396,0.01726,9.96548,447.54555,-10009.47832,-5012.63175,-6012.82867,-7011.49584,-8011.33071,-9010.10389,-7.77635,0.01547,-7.72921,-7.82248,0.71937,0.01244,0.74103,0.69814,0.71939,0.01244,0.74104,0.69815,0.71933,0.01245,0.74099,0.69808,0.71925,0.01247,0.74095,0.69798,0.71923,0.01247,0.74093,0.69796,0.71918,0.01247,0.74088,0.69790,-3.30319,0.17392,-3.00119,-3.60599,19.37455,1.35549,21.94791,17.01764,0.58673,0.05763,0.78621,0.46939,0.61952,0.06421,0.81740,0.47935,0.20622,0.03690,0.32754,0.13017,52.58702,17.58836,101.27787,12.50395,56.55488,18.22190,108.21456,16.53760,-0.19674,0.00748,-0.18000,-0.21307,0.02172,0.00222,0.02788,0.01760,-0.15263,0.00778,-0.13373,-0.17238,-0.27305,0.01680,-0.23554,-0.31728,-4.01415,0.02981,-3.92282,-4.08360,-4.01028,0.02994,-3.93377,-4.09830,-4.02407,0.02430,-3.95819,-4.08860,-4.03991,0.02660,-3.96368,-4.12039,-4.04144,0.02473,-3.96276,-4.09503,-4.04845,0.02430,-3.98222,-4.10637,-4.02971,0.01435,-3.98814,-4.06601,0.43406,0.02081,0.48761,0.37376,-2.69196,0.17338,-2.13799,-2.98327,-7.35460,0.80450,-5.98136,-9.92769,0.04050,0.00986,0.06578,0.01795,0.10671,0.00724,0.12865,0.08770,0.41941,0.04400,0.51524,0.30719,-0.40100,0.04350,-0.28874,-0.48445
6,476.6156907081604,20400,-7411.39292,-9315.91378,-5.96586,0.10808,10.26367,466.24387,-10010.77834,-5011.41426,-6012.56710,-7011.95370,-8011.49123,-9010.16242,-7.77131,0.01613,-7.70937,-7.81239,0.67756,0.01171,0.69793,0.65758,0.67754,0.01172,0.69794,0.65755,0.67747,0.01172,0.69787,0.65747,0.67734,0.01173,0.69777,0.65732,0.67731,0.01174,0.69775,0.65729,0.67726,0.01174,0.69769,0.65722,-3.90267,0.17273,-3.60107,-4.20941,24.15354,1.42600,26.69544,21.51323,0.71628,0.06115,0.93085,0.58323,0.72619,0.06793,1.04183,0.60459,0.19756,0.03549,0.30463,0.12803,72.49994,18.84822,123.25747,17.30247,67.13854,22.98028,143.25217,22.65369,-0.20646,0.00706,-0.19029,-0.22101,0.02756,0.00317,0.03560,0.02148,-0.15494,0.00775,-0.13886,-0.17235,-0.31146,0.02164,-0.27695,-0.37799,-3.99695,0.02833,-3.92946,-4.08000,-4.00600,0.02850,-3.92821,-4.07686,-4.01904,0.02803,-3.94201,-4.09672,-4.03356,0.02358,-3.97265,-4.10292,-4.04168,0.02500,-3.96069,-4.11472,-4.04864,0.02181,-3.97880,-4.11078,-4.02431,0.01335,-3.99251,-4.05842,0.43460,0.02332,0.49495,0.37234,-2.78899,0.10507,-2.40532,-3.08540,-7.41470,0.85219,-6.08786,-10.85614,0.03780,0.01068,0.06234,0.02000,0.10483,0.00695,0.12387,0.08950,0.50160,0.04949,0.65343,0.39540,-0.33667,0.03562,-0.25617,-0.43438
7,457.1275632381439,21600,-7515.24484,-9227.28086,-5.94249,0.05575,9.90753,447.16423,-10014.53938,-5019.87669,-6020.29745,-7018.87370,-8016.34470,-9016.34206,-7.77308,0.01765,-7.72513,-7.81887,0.63822,0.01101,0.65739,0.61943,0.63817,0.01102,0.65735,0.61937,0.63807,0.01103,0.65727,0.61925,0.63791,0.01104,0.65713,0.61908,0.63787,0.01104,0.65709,0.61903,0.63780,0.01104,0.65702,0.61896,-4.49616,0.16977,-4.20749,-4.78283,29.10130,1.44019,31.69224,26.46742,0.87842,0.10897,1.28735,0.69823,0.87625,0.11732,1.22814,0.68096,0.19473,0.03393,0.30006,0.12443,89.08873,24.90892,157.43417,34.44439,87.03877,29.20259,161.98399,32.19317,-0.21784,0.00806,-0.19956,-0.23812,0.03028,0.00284,0.03790,0.02386,-0.15696,0.00807,-0.13755,-0.17900,-0.34385,0.02952,-0.29310,-0.42749,-3.97437,0.03415,-3.86222,-4.06727,-3.98269,0.03264,-3.89015,-4.07397,-4.00450,0.02847,-3.92973,-4.09171,-4.02055,0.02966,-3.92948,-4.12385,-4.03004,0.02779,-3.96502,-4.09788,-4.03697,0.02592,-3.96538,-4.10568,-4.00819,0.01681,-3.96441,-4.05067,0.46202,0.02761,0.56319,0.41020,-2.56606,0.18885,-1.96020,-2.93975,-7.41727,0.80655,-6.14628,-11.21369,0.04046,0.01015,0.06047,0.02057,0.11396,0.00948,0.14149,0.09495,0.64209,0.07289,0.87861,0.50361,-0.34661,0.04083,-0.25774,-0.46140
8,465.5534863471985,22800,-7318.63643,-9314.30887,-4.40829,0.09341,10.19423,455.26579,-10015.94558,-5015.94380,-6023.77359,-7019.88802,-8018.72919,-9018.49689,-7.76193,0.01570,-7.71639,-7.80419,0.60123,0.01035,0.61925,0.58358,0.60118,0.01034,0.61919,0.58354,0.60102,0.01036,0.61907,0.58335,0.60084,0.01037,0.61890,0.58315,0.60078,0.01038,0.61884,0.58307,0.60070,0.01038,0.61877,0.58300,-5.07716,0.16519,-4.77920,-5.37487,34.11894,1.48231,37.03189,31.51210,0.96250,0.11329,1.46378,0.76943,1.03369,0.11813,1.49714,0.80648,0.21872,0.03616,0.32949,0.14604,100.38588,33.38973,182.99199,24.02245,120.95433,31.19563,193.14490,39.73868,-0.22798,0.00910,-0.20526,-0.24656,0.03517,0.00303,0.04125,0.02954,-0.15757,0.00772,-0.13489,-0.17597,-0.38808,0.03519,-0.30658,-0.46298,-3.93714,0.04125,-3.83783,-4.02599,-3.93136,0.04145,-3.79271,-4.05097,-3.97072,0.03664,-3.87501,-4.05625,-3.98761,0.03318,-3.88118,-4.07202,-4.00284,0.03307,-3.85424,-4.08145,-4.01182,0.03301,-3.91022,-4.09821,-3.97358,0.02462,-3.91063,-4.03470,0.51935,0.03505,0.60377,0.42896,-2.19607,0.24703,-1.42524,-2.69941,-7.51560,0.70080,-6.15829,-10.05506,0.04621,0.01184,0.08141,0.01641,0.13639,0.01206,0.16409,0.11362,0.79900,0.08908,1.01955,0.57686,-0.41385,0.04515,-0.30142,-0.53126
9,469.4210395812988,24000,-7222.32515,-9112.39967,-9.27556,0.06287,9.84624,459.51187,-10020.66412,-5021.70869,-6030.01842,-7026.95796,-8022.09284,-9023.70715,-7.75874,0.01657,-7.72240,-7.80576,0.56648,0.00972,0.58341,0.54991,0.56644,0.00972,0.58337,0.54987,0.56621,0.00974,0.58317,0.54960,0.56601,0.00975,0.58298,0.54939,0.56592,0.00975,0.58290,0.54929,0.56584,0.00975,0.58282,0.54921,-5.65002,0.16358,-5.36955,-5.93931,39.33715,1.55135,42.40437,36.24799,1.08012,0.12546,1.60190,0.85168,1.56616,0.37853,2.46643,0.89332,0.22363,0.03779,0.38265,0.15008,130.25679,37.02190,221.06520,39.74410,239.11697,75.26079,385.60895,44.96028,-0.23864,0.00770,-0.22131,-0.25781,0.04093,0.00274,0.04650,0.03566,-0.15544,0.00746,-0.13952,-0.17106,-0.44432,0.03102,-0.36757,-0.54708,-3.88559,0.04343,-3.76219,-3.98727,-3.88801,0.04347,-3.73031,-4.04377,-3.93233,0.03797,-3.82078,-4.02490,-3.95505,0.03603,-3.86709,-4.07828,-3.96911,0.03521,-3.90158,-4.05291,-3.97770,0.03212,-3.89201,-4.06794,-3.93463,0.02411,-3.86455,-4.01297,0.57439,0.02934,0.63965,0.46697,-1.89247,0.27495,-0.85295,-2.49488,-7.73138,0.72464,-6.03598,-11.26800,0.05072,0.01203,0.08450,0.02611,0.15710,0.00974,0.17565,0.12715,0.90303,0.07787,1.14774,0.71245,-0.47495,0.04999,-0.35715,-0.62211
