EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_10_eval_rewards,backward_5_eval_rewards,forward_10_eval_rewards,forward_5_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,51.242090702056885,16800,-74997.51835,-59001.24206,-102.75237,42.78742,8.43495,0.00156,-100000.58675,-49989.38586,-100000.81655,-49999.28425,-74.92880,0.19768,-74.33372,-75.51100,0.97051,0.01675,0.99970,0.94192,0.97051,0.01675,0.99970,0.94192,0.97050,0.01675,0.99970,0.94192,0.97051,0.01674,0.99970,0.94193,-0.29795,0.17230,-0.00000,-0.59475,60.33224,26.53275,86.51159,-4.01342,1197.57971,1743.17979,5790.40771,51.31982,1169.14124,1727.06362,5788.21973,50.29122,0.80099,0.36382,2.09956,0.23852,2835.45800,4272.78993,19440.25195,283.91013,2698.32237,4059.96070,18644.16992,322.40714,-0.18288,0.04992,0.00128,-0.28040,0.01417,0.00836,0.03824,0.00205,-0.15543,0.03556,0.00781,-0.22434,-0.22835,0.08543,-0.00357,-0.41382,-4.02358,0.06643,-3.80276,-4.13954,-4.02351,0.06267,-3.82817,-4.15130,-4.02175,0.06706,-3.79960,-4.12275,-4.02127,0.06765,-3.75296,-4.13166,-4.02253,0.06214,-3.82373,-4.12059,0.43946,0.10831,0.72468,0.26179,-2.84406,0.39900,-1.88411,-3.54605,-6.94351,0.81757,-5.23686,-11.00030,0.01986,0.02686,0.08532,-0.02560,0.09812,0.05855,0.23871,0.00350,0.20325,0.10833,0.42991,0.00622,-0.14413,0.09817,-0.00007,-0.41202
1,143.07169580459595,17600,-74999.28628,-60363.63442,-103.46677,35.02067,6.53359,101.51737,-100001.45463,-50001.53289,-99999.93868,-50001.29066,-74.94527,0.19048,-74.39117,-75.51394,0.91462,0.01534,0.94164,0.88881,0.91432,0.01561,0.94164,0.88786,0.91445,0.01551,0.94164,0.88820,0.91433,0.01561,0.94165,0.88786,-0.86548,0.14721,-0.59885,-1.11639,101.64491,12.67998,124.61509,80.80338,55.48195,2.77627,62.81677,48.90187,55.06759,2.79077,62.33812,46.26467,0.93514,0.26345,1.67828,0.37540,939.57029,300.23029,1934.78088,374.00037,967.07405,313.36103,2197.21460,323.51843,-0.31729,0.05156,-0.21909,-0.42725,0.06100,0.02521,0.11598,0.01616,-0.20796,0.03050,-0.16101,-0.28389,-0.53559,0.14364,-0.28180,-0.89905,-3.56695,0.32848,-2.74529,-4.06220,-3.81383,0.16301,-3.38531,-4.09002,-3.71916,0.20723,-3.16500,-4.07559,-3.81578,0.15688,-3.46212,-4.07280,-3.72893,0.20790,-3.25538,-4.04357,0.74532,0.19441,1.10001,0.36756,-1.56577,0.95100,0.83947,-3.22039,-7.96055,0.85920,-5.98053,-11.47310,0.07980,0.02560,0.13669,0.01919,0.19314,0.06826,0.30943,0.06719,0.61172,0.19336,1.05755,0.22435,-0.49854,0.27179,-0.13304,-1.10020
2,114.94305372238159,18400,-69991.56597,-60173.07253,-42.64929,0.02521,7.38666,107.50044,-100284.11624,-50027.26829,-99906.72907,-49704.65908,-74.95410,0.20396,-74.40893,-75.51141,0.86530,0.01313,0.88857,0.84329,0.86328,0.01379,0.88760,0.84013,0.86431,0.01331,0.88795,0.84202,0.86292,0.01398,0.88760,0.83953,-1.26165,0.07917,-1.10603,-1.39839,150.01037,14.98504,176.89148,123.49593,39.92103,6.50035,58.09185,27.85287,41.14184,5.90223,52.81096,29.78854,2.07651,0.60502,3.86532,0.86584,1471.50113,670.32500,3679.92969,459.31558,1484.31730,509.95863,3005.49976,432.94086,-0.50194,0.04482,-0.40050,-0.57533,0.13735,0.01609,0.16237,0.09470,-0.25131,0.02524,-0.19459,-0.31796,-0.86833,0.05770,-0.69881,-1.00662,-2.25657,0.46245,-1.23312,-3.18585,-2.90548,0.37953,-2.00752,-3.55924,-2.48883,0.46211,-1.50958,-3.40810,-3.05748,0.41310,-2.16748,-3.69446,-2.67709,0.41623,-1.85060,-3.43467,1.33509,0.16936,1.64739,0.96366,1.38032,0.91152,3.19313,-0.66199,-8.81841,0.96792,-7.09886,-14.07063,0.07644,0.02942,0.14317,0.01148,0.42003,0.08225,0.57306,0.27270,1.25265,0.21566,1.76516,0.75162,-1.32453,0.18266,-0.84891,-1.73298
3,102.12962579727173,19200,-70042.60211,-59809.11820,-50.70290,0.00273,4.81662,97.31023,-100145.82641,-50155.33083,-100092.91907,-50106.34857,-74.88898,0.18988,-74.42709,-75.45251,0.82289,0.01160,0.84309,0.80302,0.81936,0.01160,0.83991,0.79982,0.82150,0.01163,0.84181,0.80159,0.81891,0.01150,0.83931,0.79950,-1.45556,0.05936,-1.36113,-1.58549,202.94771,15.77859,231.31013,174.98259,27.32620,2.05782,33.59715,22.41087,30.76287,4.60604,55.85846,24.60634,2.19285,0.50784,4.13920,1.14197,1845.94027,518.23727,3772.30078,744.25281,2208.48450,1113.70389,7546.74170,630.90198,-0.59402,0.02020,-0.55523,-0.64577,0.16636,0.01077,0.19666,0.14704,-0.29195,0.01914,-0.23075,-0.33994,-0.91937,0.02932,-0.84525,-1.01182,-1.21695,0.21601,-0.62626,-1.81033,-1.49348,0.41243,-0.66634,-2.42355,-1.35797,0.22962,-0.77014,-2.02844,-1.47815,0.40684,-0.71910,-2.50269,-1.38664,0.26794,-0.85468,-2.02914,1.70185,0.05363,1.81613,1.56017,2.72093,0.33041,3.59924,1.98565,-9.12835,1.29817,-6.83619,-13.68134,0.02536,0.02146,0.08225,-0.03383,0.65665,0.04100,0.72091,0.55461,1.57696,0.07014,1.73371,1.38141,-1.53774,0.05509,-1.33917,-1.64605
4,102.45455551147461,20000,-75110.20829,-59152.67804,-46.88573,0.02428,4.62692,97.80329,-100182.49457,-50162.91435,-100134.00327,-50133.47054,-74.88470,0.18982,-74.42168,-75.42580,0.78263,0.01181,0.80282,0.76215,0.78079,0.01097,0.79963,0.76173,0.78160,0.01154,0.80139,0.76166,0.78067,0.01079,0.79931,0.76214,-1.75508,0.11569,-1.53630,-1.97461,259.61652,16.96459,290.10391,229.68135,32.15939,4.04597,49.39422,23.44858,35.12653,3.82555,46.31989,26.81688,2.04239,0.39110,3.31287,1.34197,2890.26293,970.72061,6665.51416,1095.84229,3062.24223,913.64948,6159.68408,1089.36951,-0.62578,0.01291,-0.59732,-0.64940,0.19768,0.01132,0.22851,0.17744,-0.25879,0.02406,-0.19928,-0.30947,-0.99769,0.04317,-0.91435,-1.18541,-1.31951,0.19302,-0.77589,-1.75429,-1.02253,0.20939,-0.54923,-1.77980,-1.24718,0.17273,-0.78644,-1.73198,-0.88313,0.19911,-0.17273,-1.34803,-1.11809,0.10117,-0.85582,-1.44740,1.72280,0.04857,1.87421,1.60640,2.90082,0.33577,4.00265,2.28333,-9.16106,1.19226,-6.63070,-13.78145,-0.02433,0.02398,0.03240,-0.09017,0.68687,0.01755,0.71885,0.64189,1.64460,0.05103,1.76169,1.48583,-1.59915,0.04788,-1.48959,-1.71529
5,114.53545904159546,20800,-75136.55763,-59586.84620,-50.36267,0.02801,7.14868,107.35871,-100240.53610,-50178.30421,-100051.72384,-49980.97221,-74.88755,0.18512,-74.42397,-75.38316,0.74113,0.01208,0.76194,0.72041,0.74163,0.01167,0.76153,0.72138,0.74152,0.01158,0.76146,0.72166,0.74342,0.01084,0.76196,0.72468,-2.20054,0.14209,-1.91497,-2.46646,319.88983,17.68080,351.14719,288.69443,41.77476,3.74128,50.78040,32.22496,45.37346,4.54285,67.01607,33.39782,2.57601,0.60962,4.23842,1.08836,3532.82071,931.29357,6123.65918,1164.73962,3821.22560,1040.60343,7293.00244,1522.98230,-0.64258,0.02006,-0.58161,-0.68101,0.22951,0.01590,0.25745,0.18083,-0.24849,0.01576,-0.19684,-0.28277,-1.13961,0.05832,-1.00488,-1.27599,-1.67316,0.18045,-1.26540,-2.16360,-1.52757,0.42034,-0.41050,-2.25920,-1.38190,0.18702,-0.85286,-1.85666,-0.89742,0.26851,-0.15108,-1.61252,-1.37001,0.12560,-1.02911,-1.68255,1.67666,0.05497,1.85611,1.53931,3.00822,0.41145,4.06049,2.06506,-9.17500,1.20046,-6.92247,-13.83463,-0.04840,0.03022,0.01826,-0.11587,0.62157,0.02804,0.69100,0.57689,1.50749,0.11288,1.85312,1.26061,-1.57805,0.05440,-1.45447,-1.74191
6,113.30727314949036,21600,-75097.12345,-59717.54508,-50.13445,0.02133,6.96979,106.31609,-100212.91630,-50114.42816,-100003.49133,-49891.94474,-74.86221,0.17616,-74.29046,-75.35999,0.70006,0.01161,0.72020,0.68020,0.70022,0.01217,0.72117,0.67927,0.70201,0.01119,0.72146,0.68284,0.70542,0.01111,0.72449,0.68609,-2.70818,0.15795,-2.39843,-3.09359,382.32150,18.13522,413.83496,351.21027,52.35270,5.32712,67.30696,41.36938,54.89656,5.06802,71.88254,44.35386,2.62213,0.64999,4.56220,1.30166,5011.72688,1477.98031,8965.09766,1483.57654,4774.35812,1357.47931,8650.29297,2230.35303,-0.64619,0.01216,-0.60862,-0.67739,0.25179,0.01005,0.28189,0.23325,-0.22609,0.01986,-0.18013,-0.26274,-1.23180,0.05292,-1.14487,-1.37591,-1.70933,0.12732,-1.34863,-2.10352,-2.23647,0.29731,-1.24928,-2.80952,-1.37843,0.15594,-1.03830,-1.85558,-1.27110,0.37058,-0.64491,-2.47629,-1.64883,0.12420,-1.34339,-2.12477,1.66753,0.05898,1.82463,1.46947,2.97985,0.51248,4.49291,1.72711,-9.00813,1.10016,-6.83634,-13.10963,-0.06981,0.03532,0.02244,-0.15137,0.55260,0.02453,0.60252,0.46953,1.38086,0.08117,1.63458,1.18257,-1.48551,0.07635,-1.27104,-1.70998
7,108.38768076896667,22400,-75026.28253,-59451.78566,-99.50458,0.02923,6.70435,101.59740,-100222.03377,-50166.16852,-99382.62606,-50047.70806,-74.83973,0.16869,-74.32751,-75.30448,0.66081,0.01106,0.68000,0.64192,0.65859,0.01178,0.67906,0.63850,0.66412,0.01068,0.68265,0.64585,0.66625,0.01146,0.68589,0.64646,-3.22022,0.17450,-2.78877,-3.55005,445.56991,18.25739,477.45297,412.87793,60.11288,5.52255,77.36248,48.45619,63.45503,5.42463,86.85877,50.85203,3.06874,0.74281,5.67446,1.45179,6076.26570,1733.12246,11281.62793,2501.64429,6639.38510,1749.48350,11859.24023,2857.36792,-0.63977,0.01650,-0.59274,-0.68875,0.26413,0.00855,0.28334,0.24770,-0.19393,0.01418,-0.15273,-0.22582,-1.28239,0.04895,-1.18143,-1.40076,-1.69337,0.12896,-1.31192,-2.05757,-2.49858,0.20170,-1.90102,-3.00299,-1.28098,0.27208,-0.36087,-1.84655,-1.79240,0.51307,-0.28661,-2.68520,-1.81633,0.19126,-1.27773,-2.25257,1.67900,0.09048,1.95532,1.49507,2.95988,0.64300,4.54519,1.25944,-9.03053,1.14275,-6.91820,-13.64745,-0.07824,0.05381,0.02852,-0.18823,0.50998,0.03027,0.58125,0.44384,1.36366,0.09012,1.56265,1.09523,-1.39714,0.10931,-1.17987,-1.72390
8,111.78830480575562,23200,-70371.59323,-59738.31527,-50.98569,0.05531,7.42877,104.30416,-103367.21968,-50176.45766,-100309.16456,-50038.18108,-74.82542,0.17845,-74.38573,-75.27641,0.62365,0.01039,0.64174,0.60597,0.61945,0.01078,0.63831,0.60122,0.62834,0.00991,0.64567,0.61154,0.62722,0.01081,0.64626,0.60902,-3.60379,0.09541,-3.37195,-3.82103,508.72504,18.21748,542.48193,476.46378,64.32033,5.51877,95.19852,52.95734,68.75572,5.52813,86.42226,55.93373,3.57488,0.90672,7.58640,1.96666,6795.84963,2035.35377,15044.62598,2698.16992,7387.83752,1985.15136,12697.20898,2439.95068,-0.63957,0.01649,-0.59825,-0.67714,0.26743,0.01060,0.29830,0.23351,-0.15548,0.01708,-0.09947,-0.19573,-1.33384,0.06297,-1.18852,-1.50844,-1.58872,0.15566,-1.16878,-1.98570,-2.28902,0.25804,-1.72117,-2.78569,-0.98732,0.29648,-0.21825,-1.70184,-1.77673,0.33524,-1.10741,-2.59799,-1.66045,0.16925,-1.15046,-2.10609,1.82168,0.09978,2.08097,1.56011,4.36003,0.99659,8.14922,2.06807,-9.00392,1.18560,-6.97384,-13.33374,-0.01953,0.06829,0.11815,-0.16436,0.54897,0.03290,0.62315,0.46863,1.60503,0.21319,2.16506,1.18470,-1.55443,0.13902,-1.24427,-1.88577
9,108.94387102127075,24000,-75906.00651,-59560.92081,-98.56792,0.07287,4.61511,104.25583,-102678.22038,-50291.13184,-101873.84714,-50056.10098,-74.82703,0.17995,-74.31264,-75.35647,0.58905,0.00957,0.60580,0.57281,0.58450,0.00941,0.60104,0.56862,0.59551,0.00909,0.61138,0.58001,0.59232,0.00938,0.60885,0.57662,-3.76361,0.06936,-3.57861,-3.95822,571.71794,17.96462,604.63904,539.63483,71.83241,6.69609,98.62315,60.36850,78.96220,9.22168,104.88673,63.15312,3.83020,0.77015,6.29340,1.95791,8950.62305,2518.49113,16615.76758,3267.21484,10037.42638,3047.55291,17662.63867,3237.01587,-0.65269,0.01270,-0.62081,-0.67902,0.26420,0.00932,0.29192,0.24439,-0.14967,0.01650,-0.10847,-0.19256,-1.35721,0.05467,-1.25118,-1.51655,-1.30499,0.17063,-0.88690,-1.85326,-1.59522,0.32539,-0.54260,-2.35357,-0.63308,0.26441,0.07574,-1.28212,-1.03788,0.38883,-0.12503,-1.96720,-1.14280,0.19529,-0.49794,-1.59035,2.03588,0.08519,2.25187,1.81415,5.73447,0.84194,8.10619,3.92370,-9.09833,1.47531,-6.96490,-16.48285,0.03607,0.06222,0.17117,-0.11495,0.64780,0.03102,0.74294,0.58762,1.86171,0.16988,2.21169,1.48006,-1.70965,0.12655,-1.45165,-2.13788
